expr,time
sol9,581209362
sol7,75920640
sol9,363159231
sol3,858506201
sol9,367527610
sol6,526389728
sol6,535695787
sol6,503842539
sol5,151053880
sol8,352449645
sol2,128191732
sol5,139928946
sol7,73524446
sol9,350681445
sol6,343875497
sol7,76794637
sol4,100748559
sol2,139631948
sol3,392279195
sol8,334469690
sol9,347132859
sol7,75226574
sol4,74240001
sol3,333922841
sol9,371669232
sol6,344613183
sol8,151410856
sol1,65050047
sol2,149457914
sol9,420046950
sol9,511835198
sol4,66621958
sol2,162947611
sol2,137127987
sol8,150938737
sol1,63677952
sol9,379230826
sol9,548152404
sol7,78524990
sol3,323358226
sol7,76297501
sol1,76166642
sol9,557596379
sol1,66585714
sol4,65571558
sol9,380829679
sol3,349806166
sol5,321588744
sol3,332032442
sol8,176883127
sol2,143929124
sol3,309678334
sol3,345996182
sol5,148561467
sol5,361322395
sol2,130612302
sol7,73312441
sol1,102395842
sol3,315083322
sol9,337899606
sol8,175034744
sol9,355206664
sol3,508899532
sol1,76602197
sol7,74915143
sol3,527531215
sol4,102161066
sol7,74571959
sol3,516051550
sol5,171999971
sol6,345160352
sol8,181409627
sol3,517627631
sol6,381851853
sol2,133152185
sol5,215765232
sol4,67056870
sol2,166745728
sol2,143788001
sol4,66688349
sol7,82376348
sol7,73321422
sol1,65117721
sol5,138027001
sol8,148764811
sol2,165821056
sol4,65070894
sol7,81559441
sol3,509043862
sol9,383978633
sol3,311584128
sol5,167639931
sol7,73375305
sol9,545584618
sol8,140223378
sol5,168203779
sol2,136823291
sol9,396606520
sol2,141808439
sol8,215074053
sol8,172591402
sol7,265219650
sol6,343426792
sol8,151207832
sol3,337774199
sol2,143716799
sol7,111914547
sol7,87747017
sol6,310803465
sol8,164793428
sol3,347502022
sol3,340467391
sol5,140920331
sol5,164371023
sol5,140576826
sol2,137678043
sol9,576477272
sol8,137722626
sol5,138689956
sol5,148077802
sol6,329403717
sol9,504088220
sol2,153250258
sol6,569678380
sol5,148336633
sol1,65847387
sol2,132683914
sol4,78866570
sol3,336407878
sol8,162206398
sol5,132514247
sol2,157214194
sol8,151916010
sol2,129407630
sol5,141583285
sol9,548408990
sol1,65652382
sol9,353641167
sol4,253139252
sol2,128976885
sol3,423122776
sol2,129774548
sol5,143507682
sol9,361697331
sol6,528196736
sol7,83723425
sol7,74965498
sol7,84465280
sol1,281560981
sol3,309991691
sol6,352942291
sol1,67025118
sol9,359187918
sol1,66750892
sol1,75619151
sol5,165596864
sol2,138928259
sol4,278256151
sol5,129726118
sol5,155036097
sol7,86136297
sol7,74006187
sol1,90528411
sol4,66256643
sol8,174294172
sol7,73663323
sol4,65700171
sol3,336725403
sol5,143342825
sol5,349287541
sol5,132331430
sol5,158636643
sol1,79794449
sol1,67084133
sol5,156495753
sol1,76353950
sol6,311370521
sol8,154193532
sol9,372737913
sol9,528927685
sol4,67155977
sol8,175314102
sol8,148744284
sol3,526162328
sol9,352462474
sol1,66167158
sol3,379903082
sol1,67459069
sol6,532229949
sol7,75771499
sol5,166003874
sol6,522700981
sol4,68091555
sol7,74348729
sol4,76448566
sol4,66262416
sol3,325776551
sol9,511712678
sol2,130564834
sol7,86028532
sol4,65592085
sol6,336891543
sol7,88251209
sol4,65621913
sol3,335694248
sol1,77379974
sol3,523806547
sol3,313114665
sol8,153204714
sol3,350124974
sol2,144086604
sol2,210267553
sol6,531861748
sol3,313403324
sol8,155619190
sol2,169987373
sol8,400948921
sol9,350315169
sol8,151158760
sol4,81645398
sol3,342343999
sol2,194659095
sol8,218465802
sol7,72972785
sol7,72807929
sol4,67371509
sol5,143922068
sol1,66056506
sol7,84512428
sol9,350382523
sol1,75748406
sol3,519792897
sol4,75171729
sol6,522726319
sol3,498917367
sol7,83846587
sol7,73488524
sol8,359039739
sol6,318784257
sol1,66064524
sol3,377429592
sol4,66521568
sol6,319143799
sol5,347095975
sol9,319954932
sol9,355716307
sol6,537414915
sol3,525871103
sol7,106101267
sol6,516684035
sol7,84474902
sol8,163471689
sol9,414503405
sol8,167958097
sol5,146076750
sol2,139579347
sol3,395392867
sol5,148116610
sol3,318561989
sol3,508463656
sol9,322440610
sol9,531217717
sol6,324365006
sol3,313427700
sol8,176419989
sol6,523642972
sol2,127917505
sol8,148313861
sol3,317874659
sol4,81062627
sol8,162572996
sol4,82876050
sol3,313515901
sol8,156359120
sol7,74975120
sol9,360509337
sol6,527873437
sol6,314830264
sol9,358256190
sol7,76182679
sol9,545982327
sol4,67712128
sol7,73333289
sol1,75720182
sol6,347982480
sol8,153144417
sol7,73777504
sol4,77120501
sol3,552102869
sol6,348096019
sol6,326139941
sol7,77009849
sol6,557919036
sol6,317987236
sol9,333923161
sol5,168761212
sol9,571631641
sol1,67127432
sol5,144586626
sol6,369636749
sol9,356137429
sol3,503028519
sol6,317513193
sol4,80805720
sol6,365322893
sol5,354827237
sol7,72664562
sol3,331976635
sol4,67924132
sol1,86789309
sol4,66729082
sol5,170023296
sol1,66164271
sol1,77213834
sol2,193339601
sol3,385024221
sol3,524390601
sol3,311426328
sol4,81076098
sol7,73339062
sol8,153694473
sol1,80706292
sol9,537439932
sol9,325596299
sol2,141817419
sol2,212619165
sol7,87488827
sol3,339711425
sol5,333288752
sol3,310077006
sol3,519979884
sol4,67358680
sol6,348622662
sol2,353503251
sol2,131507146
sol6,330511207
sol9,348396546
sol5,144764953
sol5,174358639
sol1,65006748
sol5,171496742
sol1,254837211
sol3,313199339
sol7,80255984
sol9,354153698
sol6,530707431
sol8,160052036
sol2,323532063
sol1,64784800
sol2,155512385
sol6,392538026
sol8,155309683
sol1,65619667
sol5,130413127
sol1,78483294
sol6,311537302
sol6,351041629
sol6,526684160
sol1,103164317
sol5,143319411
sol3,513265024
sol6,550572974
sol4,66786493
sol5,139862553
sol2,155015891
sol5,141147409
sol2,150390285
sol2,128846668
sol2,168024810
sol2,139331421
sol7,84220561
sol1,91130747
sol6,347227154
sol2,150819104
sol6,521494063
sol6,506273372
sol9,328740762
sol6,352715212
sol3,513414165
sol9,323013118
sol2,167733905
sol7,73991754
sol3,341813507
sol4,67779481
sol7,84159943
sol6,547143058
sol9,321358778
sol4,68464887
sol5,141522666
sol4,75527743
sol2,142573708
sol1,66948463
sol2,145275881
sol1,73015122
sol5,319971930
sol2,131144718
sol1,64759462
sol3,328629789
sol2,133795895
sol1,77553170
sol4,70004404
sol3,349327953
sol4,68508827
sol7,82037654
sol5,195170343
sol7,85187250
sol9,537579130
sol1,64946771
sol2,139878591
sol8,208996489
sol4,102297698
sol7,74391386
sol6,343021066
sol1,66967386
sol7,84189770
sol3,528556277
sol2,128912419
sol7,83573643
sol4,64333529
sol7,73570632
sol8,200167680
sol8,165066693
sol2,137834561
sol7,84929701
sol5,144769123
sol4,66372748
sol1,65630893
sol8,176697102
sol4,67997259
sol2,353589850
sol3,310639570
sol1,65456735
sol8,157642692
sol6,335487375
sol6,319295184
sol1,76145794
sol6,335642289
sol9,351928775
sol3,518627034
sol7,74423781
sol7,72558720
sol2,142343100
sol8,218694163
sol1,65210734
sol9,326298703
sol1,77574337
sol6,333528981
sol8,158877513
sol8,164977208
sol3,324217469
sol1,128708433
sol1,73903552
sol1,253179985
sol8,137747001
sol6,362622645
sol3,549764728
sol4,66985669
sol2,140382141
sol1,63967573
sol7,73988225
sol1,73531181
sol7,73448753
sol6,346912515
sol9,509848900
sol6,314094503
sol9,354826275
sol8,154628767
sol5,138902601
sol1,66119369
sol5,174465123
sol3,331722293
sol8,359033325
sol9,327069425
sol3,340454884
sol5,148412647
sol9,346353478
sol2,140574581
sol1,104472266
sol5,130144353
sol8,162877050
sol2,143587223
sol9,417652038
sol4,78640133
sol5,171350487
sol2,131268842
sol1,65085969
sol6,356983202
sol4,67682300
sol1,64080792
sol1,75073264
sol8,163572078
sol9,349365800
sol2,319372802
sol4,64219990
sol9,341751605
sol1,64107413
sol1,74899427
sol8,139024801
sol4,77894109
sol4,65231581
sol1,98066271
